stop_id,stop_no,stop_short_name,stop_name,Lat,Lng
0,15351,Sunbury,Sunbury Railway Station,-37.57909097,144.7273188
1,15353,Diggers Rest,Diggers Rest Railway Station,-37.62701651,144.7199224
2,19827,Crib Point,Stony Point Railway Station,-38.37423454,145.2218375
3,19828,Crib Point,Crib Point Railway Station,-38.36612338,145.2040433
4,19829,Crib Point,Morradoo Railway Station,-38.35403334,145.1896025
5,19830,Bittern,Bittern Railway Station,-38.33739032,145.1780265
6,19831,Hastings,Hastings Railway Station,-38.30565853,145.1859799
7,19832,Tyabb,Tyabb Railway Station,-38.259815,145.1864007
8,19833,Somerville,Somerville Railway Station,-38.22534196,145.1762449
9,19834,Baxter,Baxter Railway Station,-38.19404306,145.1605261
10,19835,Glen Iris,Glen Iris Railway Station,-37.85930842,145.0582249
11,19836,Frankston,Leawarra Railway Station,-38.152034,145.139534
12,19837,Malvern East,Darling Railway Station,-37.86895684,145.0629508
13,19838,Malvern East,East Malvern Railway Station,-37.87693002,145.069393
14,19839,Malvern East,Holmesglen Railway Station,-37.87440222,145.090662
15,19840,Mount Waverley,Jordanville Railway Station,-37.87360339,145.1120902
16,19841,Melbourne City,Flagstaff Railway Station,-37.81198131,144.9556538
17,19842,Melbourne City,Melbourne Central Railway Station,-37.80993877,144.9625935
18,19843,Melbourne City,Parliament Railway Station,-37.81105406,144.9729109
19,19844,Belgrave,Belgrave Railway Station,-37.9091021,145.3552913
20,19845,Tecoma,Tecoma Railway Station,-37.90811849,145.3429946
21,19846,Upwey,Upwey Railway Station,-37.90369097,145.3313334
22,19847,Ashburton,Alamein Railway Station,-37.86832039,145.0796557
23,19848,Ashburton,Ashburton Railway Station,-37.86196753,145.0813438
24,19849,Glen Iris,Burwood Railway Station,-37.85156328,145.0805111
25,19850,Camberwell,Hartwell Railway Station,-37.84398457,145.0755596
26,19851,Camberwell,Willison Railway Station,-37.83571565,145.0702976
27,19852,Camberwell,Riversdale Railway Station,-37.83150543,145.069646
28,19853,Camberwell,Camberwell Railway Station,-37.82656714,145.0586972
29,19854,Melbourne City,Flinders Street Railway Station,-37.81830513,144.9669643
30,19855,Frankston,Frankston Railway Station,-38.14299007,145.1261623
31,19856,Seaford,Kananook Railway Station,-38.12174203,145.1352953
32,19857,Seaford,Seaford Railway Station,-38.10402104,145.1282304
33,19858,Carrum,Carrum Railway Station,-38.07489292,145.1224183
34,19859,Bonbeach,Bonbeach Railway Station,-38.06294478,145.1196804
35,19860,Chelsea,Chelsea Railway Station,-38.05195538,145.1160413
36,19861,Edithvale,Edithvale Railway Station,-38.03805602,145.1085355
37,19862,Aspendale,Aspendale Railway Station,-38.02722019,145.1021496
38,19863,Mordialloc,Mordialloc Railway Station,-38.00658295,145.0876594
39,19864,Parkdale,Parkdale Railway Station,-37.99307882,145.0763268
40,19865,Mentone,Mentone Railway Station,-37.9818654,145.0651659
41,19866,Cheltenham,Cheltenham Railway Station,-37.96664989,145.0545579
42,19867,Upper Ferntree Gully,Upper Ferntree Gully Railway Station,-37.8926717,145.3075302
43,19868,Ferntree Gully,Ferntree Gully Railway Station,-37.88169799,145.2952513
44,19869,Boronia,Boronia Railway Station,-37.8604518,145.2843851
45,19870,Bayswater,Bayswater Railway Station,-37.84173004,145.2681364
46,19871,Heathmont,Heathmont Railway Station,-37.82832227,145.2445554
47,19872,Highett,Highett Railway Station,-37.948425,145.0418718
48,19873,Glen Waverley,Glen Waverley Railway Station,-37.87950407,145.1620575
49,19874,Glen Waverley,Syndal Railway Station,-37.87622963,145.1497805
50,19875,Mount Waverley,Mount Waverley Railway Station,-37.87525526,145.1280557
51,19876,Lilydale,Lilydale Railway Station,-37.75551777,145.3477102
52,19877,Mooroolbark,Mooroolbark Railway Station,-37.78474883,145.3124024
53,19878,Croydon,Croydon Railway Station,-37.79543697,145.2805978
54,19879,Ringwood East,Ringwood East Railway Station,-37.81196804,145.2501909
55,19880,Pakenham,Pakenham Railway Station,-38.08061397,145.4863791
