id,propertyID,stop_id,distance_text1,distance_value1,duration_text1,duration_value1
0,7720571,96,13.1 km,13094,2 hours 38 mins,9478
1,104997043,90,1.5 km,1454,18 mins,1066
2,105023594,172,6.1 km,6141,1 hour 16 mins,4541
3,105140240,98,3.4 km,3417,42 mins,2529
4,105178169,200,0.9 km,901,11 mins,662
5,105196799,166,0.6 km,608,8 mins,466
6,105236228,98,1.7 km,1742,21 mins,1283
7,105246219,90,0.6 km,606,8 mins,462
8,105288078,166,2.1 km,2066,26 mins,1553
9,105342471,39,0.5 km,466,6 mins,337
10,105421122,39,0.6 km,617,8 mins,457
11,105451745,73,3.5 km,3531,44 mins,2619
12,105459504,115,1.6 km,1644,21 mins,1266
13,105536419,90,0.7 km,668,8 mins,509
14,105537197,99,1.7 km,1686,21 mins,1289
15,105542245,167,1.8 km,1802,22 mins,1313
16,105578189,66,3.8 km,3841,48 mins,2878
17,105641099,210,0.5 km,468,6 mins,367
18,105737226,217,4.1 km,4148,52 mins,3113
19,105751275,90,0.4 km,391,5 mins,307
20,105778411,166,1.8 km,1770,22 mins,1322
21,105829822,166,1.8 km,1770,22 mins,1322
22,105856721,131,1.0 km,1017,13 mins,759
23,105884918,73,4.3 km,4312,53 mins,3200
24,105891256,164,1.6 km,1553,19 mins,1148
25,105940645,14,0.5 km,453,5 mins,308
26,105997178,192,1.0 km,1041,13 mins,784
27,106077031,159,10.1 km,10088,2 hours 4 mins,7454
28,106089321,207,1.4 km,1392,16 mins,973
29,106120212,39,2.2 km,2243,28 mins,1690
30,106142518,174,1.7 km,1656,20 mins,1227
31,106159868,79,0.4 km,374,5 mins,290
32,106213625,90,1.1 km,1098,14 mins,821
33,106404148,100,1.2 km,1174,14 mins,859
34,106432873,189,1.9 km,1854,24 mins,1428
35,106564490,29,1.1 km,1067,15 mins,910
36,106583075,180,1.6 km,1579,19 mins,1138
37,106640043,210,1.3 km,1255,17 mins,1031
38,106640455,87,0.7 km,746,11 mins,652
39,106646548,192,1.7 km,1733,22 mins,1297
40,106660465,88,2.6 km,2604,33 mins,1966
41,106668432,90,2.6 km,2613,32 mins,1920
42,106685036,217,2.8 km,2755,35 mins,2083
43,106714348,210,1.3 km,1255,17 mins,1031
44,106715063,180,1.0 km,951,13 mins,762
45,106730703,191,1.8 km,1772,22 mins,1306
46,106744902,90,1.2 km,1159,14 mins,842
47,106758513,129,1.2 km,1194,14 mins,854
48,106825949,178,2.5 km,2518,31 mins,1853
49,106830945,154,0.8 km,755,10 mins,628
50,106846801,190,1.9 km,1914,24 mins,1421
51,106864534,193,0.5 km,459,6 mins,360
52,106884825,29,1.0 km,984,14 mins,850
53,106925302,179,0.3 km,284,3 mins,202
54,106926568,158,6.0 km,6006,1 hour 16 mins,4580
55,106926885,173,6.3 km,6312,1 hour 18 mins,4699
56,106932576,170,4.9 km,4907,59 mins,3533
57,106945297,29,1.0 km,984,14 mins,850
58,106954580,40,2.1 km,2075,25 mins,1509
59,106956568,90,1.1 km,1080,13 mins,787
60,106988327,210,0.4 km,434,6 mins,339
61,107013130,92,0.8 km,826,11 mins,635
62,107025586,156,3.9 km,3914,49 mins,2928
63,107075785,66,5.7 km,5688,1 hour 11 mins,4276
64,107091396,89,4.8 km,4842,1 hour 1 min,3639
65,107110739,192,1.1 km,1123,14 mins,868
66,107115533,29,1.0 km,984,14 mins,850
67,107140419,29,1.0 km,984,14 mins,850
68,107165754,148,1.3 km,1327,18 mins,1052
69,107170483,172,2.4 km,2387,29 mins,1731
70,107207966,158,6.1 km,6119,1 hour 18 mins,4663
71,107208306,210,0.4 km,434,6 mins,339
72,107208476,34,0.1 km,140,2 mins,101
73,107212763,41,1.8 km,1763,23 mins,1353
74,107229926,48,5.0 km,4993,1 hour 4 mins,3849
75,107248963,16,0.5 km,465,7 mins,443
76,107260393,37,1.2 km,1241,15 mins,911
77,107270604,69,2.2 km,2161,27 mins,1594
78,107272411,100,0.6 km,609,7 mins,446
79,107273095,34,3.5 km,3461,42 mins,2515
80,107276685,156,3.9 km,3946,49 mins,2963
81,107313373,156,2.3 km,2338,29 mins,1722
82,107318892,40,1.3 km,1308,17 mins,1016
83,107337827,90,2.1 km,2111,26 mins,1551
84,107342242,156,3.9 km,3946,49 mins,2963
85,107364650,97,4.9 km,4906,1 hour 1 min,3644
